#
# Grumm/Dinnerbone textures
#
SKELETON_HORSE|GRUMM: 1a14fbf27dd5f91326a4379540b0a999c65a9f9a404e3a89bae7990385c7b346
SKELETON_HORSE|HOLLOW|GRUMM: eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHBzOi8vZWR1Y2F0aW9uLm1pbmVjcmFmdC5uZXQvd3AtY29udGVudC91cGxvYWRzL3NrZWxldG9uX2hvcnNlX2dydW1tXzY0MHg2NDAucG5nIn19fQ==
SLIME|GRUMM: e7c914c9d69c866d2c3f6100972ba774ffd013b0e2b650b4ad732eebdfffe4e0
SLIME|TRANSPARENT|GRUMM: eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHBzOi8vZWR1Y2F0aW9uLm1pbmVjcmFmdC5uZXQvd3AtY29udGVudC91cGxvYWRzL3NsaW1lX2dydW1tXzY0MHg2NDAucG5nIn19fQ==
SNIFFER|GRUMM: 5996b451b316119650bcd3fe360a07347b5c4396f5e0e35065aa7c92362e902a
SNOWMAN|GRUMM: SNOW_GOLEM|GRUMM
SNOW_GOLEM|GRUMM: 4b0405edc043492d617e5c38f4bed52536cf649c222131474a57b998985b06b0
SNOWMAN|PRE_JAPPA|GRUMM: SNOW_GOLEM|PRE_JAPPA|GRUMM
SNOW_GOLEM|PRE_JAPPA|GRUMM: ab22ef84392e1b22ab5605ff12749bc275175e154a4ad8fba43f1af233e56f48
SPIDER|GRUMM: 6a593e26690676ecf19a990783c1c879e92d8f3c2bab853eaf8151c4e8553b58
SPIDER|PRE_JAPPA|GRUMM: 3fe2bf264c19cff55455a06651e793bc711a1f6ab067716111ccdb4cd118c323
SQUID|GRUMM: ba0b2d4d776f42b792933e8fcd27df81c7409b971b203f20ee198176f8abb48f
STRAY|GRUMM: 91b33d8c29c95b301c84b802544de8ec858eee1342ee528912c28472ab6e6517
STRAY|PRE_JAPPA|GRUMM: 522cd1c1161f1a242ddb07bf860c19190357b0d9cb58e0098d3fe2fb07bd89b1
STRAY|HOLLOW|GRUMM: eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHBzOi8vZWR1Y2F0aW9uLm1pbmVjcmFmdC5uZXQvd3AtY29udGVudC91cGxvYWRzL3N0cmF5X2dydW1tXzY0MHg2NDAucG5nIn19fQ==
STRIDER|GRUMM: STRIDER|WARM|GRUMM
STRIDER|COLD|GRUMM: 476a026a6016253b7a33dc0dcc800516b78a2cb9a5f41ef8c711fc43dd148585
STRIDER|WARM|GRUMM: 3d8fab3e5494d8af904820fa76950a5c2d6a3bc272153cd7ed0143c8fc7cd673
STRIDER|COLD|SADDLED|GRUMM: 36162663e0cc8cec54fefc2b1caba4dc0291616ade3f6ae1fd82088f23a8e611
STRIDER|WARM|SADDLED|GRUMM: f941130a53a88c6853c42f625c030432f52d91fc4cd9cb3cff414fd2f2a0ac09
TADPOLE|GRUMM: b77dd8fc3606feb790767a855d8f41ba8086489beed85c3ad142a5c8ec9cd555
TRADER_LLAMA|GRUMM: TRADER_LLAMA|BROWN|GRUMM
TRADER_LLAMA|BROWN|GRUMM: 7f90a91c85312a619d069f51e757c4b3013449745c742b4d71c71d2c9a3a02f3
TRADER_LLAMA|CREAMY|GRUMM: d85265c05011efe8aca876dfdd4cb37fe85ae0d2be980675a77418844b85674e
TRADER_LLAMA|GRAY|GRUMM: ffa00abd78b4fc89cebdca412bceeb2bd925f358f517f0725a7bc81461fa83b2
TRADER_LLAMA|WHITE|GRUMM: d29891c42d261b5e7b60404ff2d61eb8315fd95086aa6825f55d2d032c1ef717
TROPICAL_FISH|GRUMM: 2f2e57e97d67dd8f2a740790ce24fff1fa9b2692937874c266a4a2e38d2f4d24
TROPICAL_FISH|ANEMONE|GRUMM: 4448aea48823265bee2d9d653117629483479ec652da79e255b1dacc4122491b
TROPICAL_FISH|BLACK_TANG|GRUMM: 9c6c586e8552678df90b0a2ed3f7947bf1f91e46a76074c205d6fe0676a2ab24
TROPICAL_FISH|BLUE_TANG|GRUMM: 6049b5afe71dbb9ae714e123d3d9b293ae31a3c6003295652799855a8463035a
TROPICAL_FISH|BUTTERFLYFISH|GRUMM: 9f68a1b7b656539cb934fe215b74581d0aada6fcdfbcc93dedaef516417ae74f
TROPICAL_FISH|CICHLID|GRUMM: 2d43cb9678704b668d82110b67cfacc8c940069e673d7d4e9963e9f50066ea84
TROPICAL_FISH|CLOWNFISH|GRUMM: aa82caa921c387047d9035b13a13cded2446e9782e239bab04e6ebcfe630122a
TROPICAL_FISH|COTTON_CANDY_BETTA|GRUMM: a542e5583b53dfdc53501da50fd4e3348394c1ed5eb9f6a30c85c96674281623
TROPICAL_FISH|DOTTYBACK|GRUMM: a0a7217d1bb0fee8fde297f8f1d87d3ba69c7437559a587d8ac7d1e8227c642f
TROPICAL_FISH|EMPEROR_RED_SNAPPER|GRUMM: 94e25fca522e62556029aa112ef6ce7e35f99b380c72fa35a8ee0b9438377523
TROPICAL_FISH|GOATFISH|GRUMM: 95151654d410d562e06d48a3f9134d0c24259f769f13cd0aa3532e7c3ba21b6d
TROPICAL_FISH|MOORISH_IDOL|GRUMM: da4e033ecbe5ff4d56a7caf493491c3491b894890d7c92bd0bbe86ac281f0e22
